V1,V2,V3
-125,50,-74.3150024414062
-124.983240223464,50,-110.995002746582
-124.966480446927,50,-54.4949989318848
-124.949720670391,50,38.2849998474121
-124.932960893855,50,54.5625
-124.916201117318,50,31.4825000762939
-124.899441340782,50,-36.3175010681152
-124.882681564246,50,-178.747497558594
-124.865921787709,50,-259.807495117188
-124.849162011173,50,-251.1875
-124.832402234637,50,-180.747497558594
-124.815642458101,50,-50.2874984741211
-124.798882681564,50,-50.7825012207031
-124.782122905028,50,9.04749965667725
-124.765363128492,50,64.5074996948242
-124.748603351955,50,105.227500915527
-124.731843575419,50,151.467498779297
-124.715083798883,50,18.7574996948242
-124.698324022346,50,49.6575012207031
-124.68156424581,50,201.767501831055
-124.664804469274,50,458.547485351562
-124.648044692737,50,668.517517089844
-124.631284916201,50,742.757507324219
-124.614525139665,50,721.787475585938
-124.597765363128,50,796.077514648438
-124.581005586592,50,698.45751953125
-124.564245810056,50,111.67749786377
-124.54748603352,50,54.9575004577637
-124.530726256983,50,55.8038368225098
-124.513966480447,50,76.183837890625
-124.497206703911,50,68.3538360595703
-124.480446927374,50,144.313842773438
-124.463687150838,50,310.773834228516
-124.446927374302,50,164.733840942383
-124.430167597765,50,202.823837280273
-124.413407821229,50,377.323822021484
-124.396648044693,50,627.565185546875
-124.379888268156,50,680.03515625
-124.36312849162,50,541.185180664062
-124.346368715084,50,672.78515625
-124.329608938547,50,640.80517578125
-124.312849162011,50,398.565185546875
-124.296089385475,50,233.575164794922
-124.279329608939,50,308.195159912109
-124.262569832402,50,512.290771484375
-124.245810055866,50,829.24072265625
-124.22905027933,50,1174.27075195312
-124.212290502793,50,801.49072265625
-124.195530726257,50,827.130737304688
-124.178770949721,50,802.290771484375
-124.162011173184,50,1101.61071777344
-124.145251396648,50,1153.03076171875
-124.128491620112,50,914.724975585938
-124.111731843575,50,1102.97497558594
-124.094972067039,50,799.215026855469
-124.078212290503,50,1113.02502441406
-124.061452513966,50,1189.95495605469
-124.04469273743,50,954.244995117188
-124.027932960894,50,406.575012207031
-124.011173184358,50,0.564999997615814
-123.994413407821,50,-300.25
-123.977653631285,50,-384.890014648438
-123.960893854749,50,280.290008544922
-123.944134078212,50,372.959991455078
-123.927374301676,50,605.469970703125
-123.91061452514,50,665.159973144531
-123.893854748603,50,636.369995117188
-123.877094972067,50,658.010009765625
-123.860335195531,50,843.271789550781
-123.843575418994,50,1213.20178222656
-123.826815642458,50,1153.40173339844
-123.810055865922,50,1191.71179199219
-123.793296089385,50,1080.091796875
-123.776536312849,50,1443.41174316406
-123.759776536313,50,1631.04174804688
-123.743016759777,50,1057.11181640625
-123.72625698324,50,930.876953125
-123.709497206704,50,1257.59692382812
-123.692737430168,50,1509.55700683594
-123.675977653631,50,1696.71691894531
-123.659217877095,50,1555.3369140625
-123.642458100559,50,1232.04699707031
-123.625698324022,50,1485.94702148438
-123.608938547486,50,1776.06701660156
-123.59217877095,50,1643.43640136719
-123.575418994413,50,1323.07641601562
-123.558659217877,50,1197.56640625
-123.541899441341,50,906.756469726562
-123.525139664804,50,684.596435546875
-123.508379888268,50,839.696472167969
-123.491620111732,50,1127.81640625
-123.474860335196,50,1342.31640625
-123.458100558659,50,1686.18798828125
-123.441340782123,50,1754.59802246094
-123.424581005587,50,1746.1279296875
-123.40782122905,50,1907.69799804688
-123.391061452514,50,2061.19799804688
-123.374301675978,50,1620.64794921875
-123.357541899441,50,1142.90795898438
-123.340782122905,50,485.177978515625
-123.324022346369,50,126.618011474609
-123.307262569832,50,397.858001708984
-123.290502793296,50,885.868041992188
-123.27374301676,50,1479.87805175781
-123.256983240223,50,1403.92797851562
-123.240223463687,50,1561.01806640625
-123.223463687151,50,1445.59802246094
-123.206703910615,50,1180.94799804688
-123.189944134078,50,823.93798828125
-123.173184357542,50,720.867980957031
-123.156424581006,50,464.037994384766
-123.139664804469,50,393.898010253906
-123.122905027933,50,409.627990722656
-123.106145251397,50,774.268005371094
-123.08938547486,50,1081.32800292969
-123.072625698324,50,1270.00805664062
-123.055865921788,50,1647.38793945312
-123.039106145251,50,1655.83801269531
-123.022346368715,50,1825.71801757812
-123.005586592179,50,1623.6279296875
-122.988826815642,50,1696.39794921875
-122.972067039106,50,1655.21801757812
-122.95530726257,50,1792.89794921875
-122.938547486034,50,1658.96801757812
-122.921787709497,50,1240.35913085938
-122.905027932961,50,945.809204101562
-122.888268156425,50,840.419189453125
-122.871508379888,50,921.039184570312
-122.854748603352,50,1181.19921875
-122.837988826816,50,1416.10913085938
-122.821229050279,50,1407.50915527344
-122.804469273743,50,1620.89916992188
-122.787709497207,50,1831.88623046875
-122.77094972067,50,1555.96630859375
-122.754189944134,50,1375.26623535156
-122.737430167598,50,1730.36633300781
-122.720670391061,50,2147.80615234375
-122.703910614525,50,1956.77624511719
-122.687150837989,50,1801.09631347656
-122.670391061453,50,1949.486328125
-122.653631284916,50,1781.40100097656
-122.63687150838,50,1869.5810546875
-122.620111731844,50,1909.07104492188
-122.603351955307,50,1849.23107910156
-122.586592178771,50,1810.98107910156
-122.569832402235,50,1526.19104003906
-122.553072625698,50,1517.57104492188
-122.536312849162,50,1121.41101074219
-122.519553072626,50,569.223022460938
-122.502793296089,50,370.333038330078
-122.486033519553,50,597.85302734375
-122.469273743017,50,445.543029785156
-122.45251396648,50,235.413040161133
-122.435754189944,50,562.013061523438
-122.418994413408,50,1048.69299316406
-122.402234636872,50,1454.11303710938
-122.385474860335,50,1592.25439453125
-122.368715083799,50,1120.74438476562
-122.351955307263,50,729.794372558594
-122.335195530726,50,876.614379882812
-122.31843575419,50,1367.21435546875
-122.301675977654,50,1718.99438476562
-122.284916201117,50,1921.09436035156
-122.268156424581,50,1652.61437988281
-122.251396648045,50,2043.24011230469
-122.234636871508,50,2171.03002929688
-122.217877094972,50,1921.75012207031
-122.201117318436,50,1576.75012207031
-122.184357541899,50,1378.03002929688
-122.167597765363,50,1108.78002929688
-122.150837988827,50,1216.85009765625
-122.134078212291,50,1361.96008300781
-122.117318435754,50,1678.31970214844
-122.100558659218,50,1807.65979003906
-122.083798882682,50,1702.89978027344
-122.067039106145,50,1636.30981445312
-122.050279329609,50,1524.64978027344
-122.033519553073,50,1795.39978027344
-122.016759776536,50,1427.38977050781
-122,50,848.389770507812
-125,49.9831932773109,-144.184997558594
-124.983240223464,49.9831932773109,-137.625
-124.966480446927,49.9831932773109,-55.935001373291
-124.949720670391,49.9831932773109,-3.33500003814697
-124.932960893855,49.9831932773109,45.4824981689453
-124.916201117318,49.9831932773109,42.7724990844727
-124.899441340782,49.9831932773109,2.33249998092651
-124.882681564246,49.9831932773109,-80.1875
-124.865921787709,49.9831932773109,-201.9375
-124.849162011173,49.9831932773109,-235.247497558594
-124.832402234637,49.9831932773109,-204.247497558594
-124.815642458101,49.9831932773109,-141.747497558594
-124.798882681564,49.9831932773109,-146.3125
-124.782122905028,49.9831932773109,-74.0025024414062
-124.765363128492,49.9831932773109,-2.79250001907349
-124.748603351955,49.9831932773109,79.0175018310547
-124.731843575419,49.9831932773109,154.537506103516
-124.715083798883,49.9831932773109,157.1875
-124.698324022346,49.9831932773109,54.247501373291
-124.68156424581,49.9831932773109,108.067497253418
-124.664804469274,49.9831932773109,288.447509765625
-124.648044692737,49.9831932773109,503.587493896484
-124.631284916201,49.9831932773109,599.297485351562
-124.614525139665,49.9831932773109,607.617492675781
-124.597765363128,49.9831932773109,627.097473144531
-124.581005586592,49.9831932773109,783.247497558594
-124.564245810056,49.9831932773109,308.307495117188
-124.54748603352,49.9831932773109,50.3074989318848
-124.530726256983,49.9831932773109,57.933837890625
-124.513966480447,49.9831932773109,275.093841552734
-124.497206703911,49.9831932773109,594.163818359375
-124.480446927374,49.9831932773109,765.013854980469
-124.463687150838,49.9831932773109,665.053833007812
-124.446927374302,49.9831932773109,357.44384765625
-124.430167597765,49.9831932773109,267.293823242188
-124.413407821229,49.9831932773109,463.863830566406
-124.396648044693,49.9831932773109,821.765197753906
-124.379888268156,49.9831932773109,772.855163574219
-124.36312849162,49.9831932773109,579.515197753906
-124.346368715084,49.9831932773109,608.885192871094
-124.329608938547,49.9831932773109,475.545166015625
-124.312849162011,49.9831932773109,191.165176391602
-124.296089385475,49.9831932773109,342.78515625
-124.279329608939,49.9831932773109,666.135192871094
-124.262569832402,49.9831932773109,732.200744628906
-124.245810055866,49.9831932773109,785.290771484375
-124.22905027933,49.9831932773109,689.400756835938
-124.212290502793,49.9831932773109,591.300720214844
-124.195530726257,49.9831932773109,996.550720214844
-124.178770949721,49.9831932773109,1156.92077636719
-124.162011173184,49.9831932773109,1410.970703125
-124.145251396648,49.9831932773109,1392.78076171875
-124.128491620112,49.9831932773109,1183.96496582031
-124.111731843575,49.9831932773109,1031.15502929688
-124.094972067039,49.9831932773109,934.434997558594
-124.078212290503,49.9831932773109,505.524993896484
-124.061452513966,49.9831932773109,1102.72497558594
-124.04469273743,49.9831932773109,771.065002441406
-124.027932960894,49.9831932773109,395.535003662109
-124.011173184358,49.9831932773109,24.375
-123.994413407821,49.9831932773109,-458
-123.977653631285,49.9831932773109,-21.8099994659424
-123.960893854749,49.9831932773109,846.820007324219
-123.944134078212,49.9831932773109,1077.4599609375
-123.927374301676,49.9831932773109,924.390014648438
-123.91061452514,49.9831932773109,1217.03002929688
-123.893854748603,49.9831932773109,1098.93005371094
-123.877094972067,49.9831932773109,1178.18005371094
-123.860335195531,49.9831932773109,1205.16174316406
-123.843575418994,49.9831932773109,1392.41174316406
-123.826815642458,49.9831932773109,965.231750488281
-123.810055865922,49.9831932773109,1174.88171386719
-123.793296089385,49.9831932773109,1242.02172851562
-123.776536312849,49.9831932773109,1293.01171875
-123.759776536313,49.9831932773109,1416.70178222656
-123.743016759777,49.9831932773109,1446.17175292969
-123.72625698324,49.9831932773109,1435.73693847656
-123.709497206704,49.9831932773109,1122.57702636719
-123.692737430168,49.9831932773109,955.346984863281
-123.675977653631,49.9831932773109,882.456970214844
-123.659217877095,49.9831932773109,915.176940917969
-123.642458100559,49.9831932773109,1237.94702148438
-123.625698324022,49.9831932773109,1645.56701660156
-123.608938547486,49.9831932773109,1791.126953125
-123.59217877095,49.9831932773109,1992.97644042969
-123.575418994413,49.9831932773109,2005.03649902344
-123.558659217877,49.9831932773109,1918.45642089844
-123.541899441341,49.9831932773109,1600.01647949219
-123.525139664804,49.9831932773109,1289.91650390625
-123.508379888268,49.9831932773109,856.1064453125
-123.491620111732,49.9831932773109,560.866455078125
-123.474860335196,49.9831932773109,643.176452636719
-123.458100558659,49.9831932773109,742.93798828125
-123.441340782123,49.9831932773109,998.407958984375
-123.424581005587,49.9831932773109,1160.47802734375
-123.40782122905,49.9831932773109,1570.97802734375
-123.391061452514,49.9831932773109,1925.48791503906
-123.374301675978,49.9831932773109,1747.69799804688
-123.357541899441,49.9831932773109,1309.85803222656
-123.340782122905,49.9831932773109,833.597961425781
-123.324022346369,49.9831932773109,260.348022460938
-123.307262569832,49.9831932773109,93.9880142211914
-123.290502793296,49.9831932773109,552.007995605469
-123.27374301676,49.9831932773109,1224.4580078125
-123.256983240223,49.9831932773109,1154.31799316406
-123.240223463687,49.9831932773109,1046.02795410156
-123.223463687151,49.9831932773109,1014.79803466797
-123.206703910615,49.9831932773109,894.4580078125
-123.189944134078,49.9831932773109,696.177978515625
-123.173184357542,49.9831932773109,581.098022460938
-123.156424581006,49.9831932773109,408.947998046875
-123.139664804469,49.9831932773109,378.697998046875
-123.122905027933,49.9831932773109,575.218017578125
-123.106145251397,49.9831932773109,1006.75799560547
-123.08938547486,49.9831932773109,1288.15795898438
-123.072625698324,49.9831932773109,1567.25805664062
-123.055865921788,49.9831932773109,1891.80798339844
-123.039106145251,49.9831932773109,1965.69799804688
-123.022346368715,49.9831932773109,1792.7080078125
-123.005586592179,49.9831932773109,1769.98803710938
-122.988826815642,49.9831932773109,1932.65795898438
-122.972067039106,49.9831932773109,1917.93798828125
-122.95530726257,49.9831932773109,1910.66796875
-122.938547486034,49.9831932773109,1485.72802734375
-122.921787709497,49.9831932773109,1700.23913574219
-122.905027932961,49.9831932773109,1452.98913574219
-122.888268156425,49.9831932773109,1080.67919921875
-122.871508379888,49.9831932773109,1047.79919433594
-122.854748603352,49.9831932773109,1059.55920410156
-122.837988826816,49.9831932773109,1152.62915039062
-122.821229050279,49.9831932773109,1287.06921386719
